playlist_id,playlist_name,track_id,track_name,artist_ids,artist_names,preview_url,duration_ms,popularity
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You,['55vs7NT1KxcFjbMC4y202E'],['REO Speedwagon'],,200293,73
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5voO100jVn9PK4NUETgM8W,Baba O'Riley,['67ea9eGLXYMsO2eYQRui3w'],['The Who'],,301560,0
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4UEo1b0wWrtHMC8bVqPiH8,Nightmare,['0nmQIMXWTXfhgOBdNzhGOs'],['Avenged Sevenfold'],,374453,76
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall (Remastered),['2DaxqgrOhkeH0fpeiQq2f4'],['Oasis'],,258732,2
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,1bp2IO61zbQrbWNmKKxg3f,The Joker,['6QtGlUje9TIkLrgPZrESuk'],['Steve Miller Band'],,264503,74
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,['5xUf6j4upBrXZPg6AI4MRK'],['Soundgarden'],,318586,82
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,58XWGx7KNNkKneHdprcprX,Rock You Like A Hurricane,['27T030eWyCQRmDyuvr1kxY'],['Scorpions'],,252493,73
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,6W2VbtvMrDXm5vYeB7amkO,Footloose,['3Y3xIwWyq5wnNHPp5gPjOW'],['Kenny Loggins'],,220706,72
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2V8KvnD5LVeeDChMWEkSzC,Nothin' But A Good Time - Remastered 2006,['1fBCIkoPOPCDLUxGuWNvyo'],['Poison'],,224866,68
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,0qgrrDnUUhyxpxbBznUnzg,18 and Life,['4opTS86dN9uO313J9CE8xg'],['Skid Row'],,229960,3
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,18ESXa5mEm1V4Pkt5GSXWx,Cherry Pie,['7HLvzuM9p11k9lUQfSM4Rq'],['Warrant'],,201106,63
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,['74ASZWbe4lXaubB36ztrGX'],['Bob Dylan'],,371713,73
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,['22WZ7M8sxp5THdruNY3gXt'],['The Doors'],,434720,74
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,3ykSdTGmYPFl8pDBXer1zG,Cocaine,['6PAt558ZEZl0DmdXlnjMgD'],['Eric Clapton'],,221640,66
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,['42TFhl7WlMRXiNqzSrnzPL'],['Lou Reed'],,255875,72
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,['5nGIFgo0shDenQYSE0Sn7c'],['Evanescence'],,235893,89
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,['7FBcuc1gsnv6Y1nwFtNRCb'],['My Chemical Romance'],,311106,81
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,['5ypxebeHEIXjMtJb17uJlI'],['Jet'],,213800,11
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid",['5LfGQac0EIXyAN8aUwmNAQ'],['The Offspring'],,177826,82
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,['5eAWCfyUhZtHHtBdNk56l1'],['System Of A Down'],,210240,86
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,['03r4iKL2g2442PT9n2UKsx'],['Beastie Boys'],,208653,70
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5SAUIWdZ04OxYfJFDchC7S,Smoke on the Water,['568ZhdwyaiCyOGJRtNYhWf'],['Deep Purple'],,342173,63
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,['6biWAmrHyiMkX49LkycGqQ'],['Thin Lizzy'],,266720,72
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,57trQKFZdJxHia4sMJioWk,Sister Christian,['1Ha0Fz4i0d4gu5fZbhBCtH'],['Night Ranger'],,302933,63
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5t5rCnsgRBtcKqTB7SbD1Q,High Enough,['7ihLzUpuNecU5VBkvOUDNq'],['Damn Yankees'],,287320,61
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,['4NgfOZCL9Ml67xzM0xzIvC'],['Janis Joplin'],,271333,69
